gid,pid,detail,off,def,type,qb,trg,bc,qtr,los,dwn,ytg,yfog,zone,yds,succ,fd,sg,nh,comp,ints,box,avt,pru,spru,blz,dblz,ttsk,pap,side,high,oop,shov,scre,qbp,qbhi,qbhu,htm,tay,dot,dotr,cov,cnb,crr,yac,yaco,mbt,drp,intw,back,defpr1,defpr2,defhi,defhu1,defhu2
5064,830303,(4:31) (Shotgun) B.Mayfield pass short right to J.Landry to CLE 25 for 10 yards (H.Landry).,CLE,TEN,PASS,BM-0650,JL-0215,,2,CLE 15,2,23,15,1,10,0,0,1,0,1,0,6,1,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,-3,1,0,0,0,13,10,1,0,0,1,,,,,
5064,830304,(3:45) (Shotgun) B.Mayfield pass incomplete short middle to D.Njoku.,CLE,TEN,PASS,BM-0650,DN-1225,,2,CLE 25,3,13,25,2,,0,0,1,0,0,0,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,14,4,2,0,0,0,0,0,1,0,1,,,,,
5064,830306,(3:30) (Shotgun) D.Henry up the middle to TEN 27 for -1 yards (C.Kirksey).,TEN,CLE,RUSH,DH-2450,,DH-2450,2,TEN 28,1,10,28,2,-1,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,,,,,
5064,830307,"(2:51) (Shotgun) M.Mariota sacked at TEN 20 for -7 yards (M.Garrett). Penalty on TEN-D.Kelly, Offensive Holding, declined.",TEN,CLE,PASS,MM-0912,,,2,TEN 27,2,11,27,2,-7,0,0,1,0,0,0,5,5,4,0,0,0,3.2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MG-0287,,MG-0287,,
5064,830308,(2:24) (Shotgun) M.Mariota pass short middle to D.Lewis to TEN 27 for 7 yards (S.Richardson).,TEN,CLE,PASS,MM-0912,DL-1700,,2,TEN 20,3,18,20,1,7,0,0,1,0,1,0,6,5,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,7,0,1,0,0,0,7,2,1,0,0,1,MG-0287,,,,
5064,830311,"(1:47) B.Mayfield sacked in End Zone for -2 yards, SAFETY (C.Wake).",CLE,TEN,PASS,BM-0650,,,2,CLE 2,1,11,2,1,-2,0,0,0,0,0,0,7,4,4,0,0,0,3.5,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,CW-0100,,CW-0100,,
5064,830313,(1:36) (Shotgun) M.Mariota pass short middle to D.Walker to CLE 48 for 11 yards (M.Burnett).,TEN,CLE,PASS,MM-0912,DW-0500,,2,TEN 41,1,10,41,3,11,1,1,1,0,1,0,7,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7,2,1,0,0,4,2,0,0,0,1,,,,,
5064,830314,(1:15) (Shotgun) M.Mariota pass incomplete short left to T.Sharpe (T.Mitchell).,TEN,CLE,PASS,MM-0912,TS-1262,,2,CLE 48,1,10,52,3,,0,0,1,0,0,0,6,4,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,4,2,1,0,0,0,0,0,0,0,1,,,,,
5064,830315,(1:13) (Shotgun) M.Mariota pass incomplete short middle to C.Davis (S.Richardson).,TEN,CLE,PASS,MM-0912,CD-0975,,2,CLE 48,2,10,52,3,,0,0,1,0,0,0,6,4,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,10,3,4,1,0,0,0,0,0,0,0,1,SR-0670,,,SR-0670,
5064,830316,(1:09) (Shotgun) M.Mariota pass incomplete deep right to T.Sharpe.,TEN,CLE,PASS,MM-0912,TS-1262,,2,CLE 48,3,10,52,3,,0,0,1,0,0,0,6,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,22,4,1,0,0,0,0,0,0,0,1,,,,,
